Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹),Brand,Year,Car_Age
Volvo Xc60 (2017),Momentum D4,DIESEL,89000.0,AUTOMATIC,2nd Owner,"Mehdipatnam, Hyderabad",01-27-2022,2400000,Volvo,2017.0,5.0
Toyota Innova (2007),2.5 EV Diesel MS 8 Str BSIII,DIESEL,185000.0,MANUAL,2nd Owner,"Dabeerpura, Hyderabad",01-27-2022,400000,Toyota,2007.0,15.0
Hyundai I20 (2017),1.2 Asta,PETROL,33000.0,MANUAL,2nd Owner,"New Timber Market Area, Raipur",01-27-2022,620000,Hyundai,2017.0,5.0
Honda Amaze (2013),1.5 V CVT ( I-DTEC) Manual,PETROL,88800.0,MANUAL,1st Owner,"Sabzi Mandi, Shimla",01-27-2022,315000,Honda,2013.0,9.0
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000.0,MANUAL,Third Owner,"Khed Shivapur, Pune",Maharashtra,49999,Maruti,2004.0,18.0
Audi Q3 (2016),35 TDI Quattro Premium Plus,DIESEL,80000.0,AUTOMATIC,2nd Owner,"Mr 10 Road, Indore",01-08-2022,1750000,Audi,2016.0,6.0
Honda Jazz (2015),V Automatic,PETROL,21000.0,AUTOMATIC,2nd Owner,"Janakpuri, Delhi",01-25-2022,500000,Honda,2015.0,7.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Honda Jazz (2015),V Automatic,PETROL,21000.0,AUTOMATIC,2nd Owner,"Janakpuri, Delhi",01-25-2022,500000,Honda,2015.0,7.0
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000.0,MANUAL,Fourth Owner,"Najafgarh, Delhi",Delhi,85000,Chevrolet,2009.0,13.0
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000.0,MANUAL,Fourth Owner,"Najafgarh, Delhi",Delhi,85000,Chevrolet,2009.0,13.0
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000.0,MANUAL,Third Owner,"Khed Shivapur, Pune",Maharashtra,49999,Maruti,2004.0,18.0
Ford Ecosport (2017),1.5 Diesel Titanium,DIESEL,97000.0,MANUAL,1st Owner,"Tidke Nagar, Nashik",01-27-2022,675000,Ford,2017.0,5.0
Volkswagen Polo (2011),2009-2013 Petrol Comfortline 1.2L,DIESEL,117000.0,MANUAL,2nd Owner,"Parasakthi Colony, Sivakasi",01-27-2022,270000,Volkswagen,2011.0,11.0
Volvo Xc60 (2017),Momentum D4,DIESEL,89000.0,AUTOMATIC,2nd Owner,"Mehdipatnam, Hyderabad",01-27-2022,2400000,Volvo,2017.0,5.0
Volvo Xc60 (2017),Momentum D4,DIESEL,89000.0,AUTOMATIC,2nd Owner,"Mehdipatnam, Hyderabad",01-27-2022,2400000,Volvo,2017.0,5.0
Toyota Fortuner (2017),3.0 4x4 Automatic,DIESEL,50000.0,AUTOMATIC,1st Owner,"Jubilee Hills, Hyderabad",01-27-2022,2899999,Toyota,2017.0,5.0
Mahindra Bolero Pik-Up (2012),FB 1.25T,DIESEL,148000.0,MANUAL,2nd Owner,"Saha Industrial Area, Saha",01-27-2022,370000,Mahindra,2012.0,10.0
Tata Tiago (2018),1.2 Revotron XTA,PETROL,68000.0,AUTOMATIC,1st Owner,"Assissi Nagar, Aluva",01-14-2022,475000,Tata,2018.0,4.0
Tata Tiago (2018),1.2 Revotron XTA,PETROL,68000.0,AUTOMATIC,1st Owner,"Assissi Nagar, Aluva",01-14-2022,475000,Tata,2018.0,4.0
Ford Fiesta (2010),2008-2011 1.4 ZXi TDCi LE,DIESEL,125000.0,MANUAL,2nd Owner,"NGO Colony, Pamur",01-27-2022,200000,Ford,2010.0,12.0
Tata Others (2012),Unknown,DIESEL,5000.0,MANUAL,2nd Owner,"Anna Bhau Sathe Chowk, Nanded",01-27-2022,800000,Tata,2012.0,10.0
Mahindra Xylo (2012),2012-2014 E8 ABS BS III,DIESEL,150000.0,MANUAL,2nd Owner,"Parasakthi Colony, Sivakasi",01-27-2022,493000,Mahindra,2012.0,10.0
Maruti Suzuki Swift (2015),VDI,DIESEL,97000.0,MANUAL,2nd Owner,"Anthiyoorkonam, Thiruvananthapuram",01-27-2022,450000,Maruti,2015.0,7.0
Toyota Fortuner (2017),3.0 4x4 Automatic,DIESEL,50000.0,AUTOMATIC,1st Owner,"Jubilee Hills, Hyderabad",01-27-2022,2899999,Toyota,2017.0,5.0
Toyota Fortuner (2017),3.0 4x4 Automatic,DIESEL,50000.0,AUTOMATIC,1st Owner,"Jubilee Hills, Hyderabad",01-27-2022,2899999,Toyota,2017.0,5.0
Volvo Xc60 (2017),Momentum D4,DIESEL,89000.0,AUTOMATIC,2nd Owner,"Mehdipatnam, Hyderabad",01-27-2022,2400000,Volvo,2017.0,5.0
Volvo Xc60 (2017),Momentum D4,DIESEL,89000.0,AUTOMATIC,2nd Owner,"Mehdipatnam, Hyderabad",01-27-2022,2400000,Volvo,2017.0,5.0
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000.0,MANUAL,Third Owner,"Khed Shivapur, Pune",Maharashtra,49999,Maruti,2004.0,18.0
Hyundai Accent (2005),DLS,PETROL,95000.0,AUTOMATIC,4th Owner,"Kulswamini Vihar, Amravati",01-27-2022,85000,Hyundai,2005.0,17.0
Maruti Suzuki Wagon R (2017),VXI BS IV,PETROL,22464.0,MANUAL,1st Owner,"Narela, Delhi",01-27-2022,418500,Maruti,2017.0,5.0
Maruti Suzuki Wagon R (2017),VXI BS IV,PETROL,22464.0,MANUAL,1st Owner,"Narela, Delhi",01-27-2022,418500,Maruti,2017.0,5.0
Hyundai Accent (2005),DLS,PETROL,95000.0,AUTOMATIC,4th Owner,"Kulswamini Vihar, Amravati",01-27-2022,85000,Hyundai,2005.0,17.0
Maruti Suzuki Zen (2004),LX,PETROL,100000.0,MANUAL,2nd Owner,"Saraswati Vihar, Amritsar",01-27-2022,90000,Maruti,2004.0,18.0
Maruti Suzuki Zen (2004),LX,PETROL,100000.0,MANUAL,2nd Owner,"Saraswati Vihar, Amritsar",01-27-2022,90000,Maruti,2004.0,18.0
Maruti Suzuki Swift Dzire (2012),LXI,PETROL,110000.0,MANUAL,3rd Owner,"Bharat Nagar, Sillod",01-27-2022,345000,Maruti,2012.0,10.0
Mahindra Xuv500 (2015),W10 2WD,DIESEL,64153.0,MANUAL,1st Owner,"Madhapur, Hyderabad",01-27-2022,1200000,Mahindra,2015.0,7.0
Mahindra Xuv500 (2018),W11,DIESEL,42000.0,MANUAL,1st Owner,"Vaishali Nagar, Jaipur",01-22-2022,1550000,Mahindra,2018.0,4.0
Maruti Suzuki Wagon R (2013),LXI CNG,CNG,120000.0,MANUAL,Second Owner,"Rohini, Delhi",Delhi,260000,Maruti,2013.0,9.0
Maruti Suzuki Swift Dzire (2014),ZDI,DIESEL,102175.0,MANUAL,3rd Owner,Oulgaret,01-27-2022,410000,Maruti,2014.0,8.0
Bmw X5 M (2016),Others,DIESEL,50000.0,AUTOMATIC,1st Owner,"Santacruz West, Mumbai",01-27-2022,4850000,Bmw,2016.0,6.0
Bmw X5 M (2016),Others,DIESEL,50000.0,AUTOMATIC,1st Owner,"Santacruz West, Mumbai",01-27-2022,4850000,Bmw,2016.0,6.0
Mahindra Xuv500 (2015),W10 2WD,DIESEL,64153.0,MANUAL,1st Owner,"Madhapur, Hyderabad",01-27-2022,1200000,Mahindra,2015.0,7.0
Maruti Suzuki Alto (2008),2005-2010 LXi BSIII,PETROL,50000.0,MANUAL,Second Owner,"Royal Enclave, Jodhpur",Rajasthan,150000,Maruti,2008.0,14.0
Maruti Suzuki Alto (2008),2005-2010 LXi BSIII,PETROL,50000.0,MANUAL,Second Owner,"Royal Enclave, Jodhpur",Rajasthan,150000,Maruti,2008.0,14.0
Skoda Superb (2014),2013-2015 Ambition 1.8 TSI MT,PETROL,78000.0,MANUAL,1st Owner,"Attapur, Hyderabad",01-27-2022,750000,Skoda,2014.0,8.0
Honda City (2021),i-VTEC CVT VX,PETROL,3500.0,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-07-2022,1499000,Honda,2021.0,1.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Toyota Fortuner (2010),3.0 4x4 Manual,DIESEL,113000.0,MANUAL,2nd Owner,"Sion East, Mumbai",01-27-2022,899999,Toyota,2010.0,12.0
Toyota Fortuner (2010),3.0 4x4 Manual,DIESEL,113000.0,MANUAL,2nd Owner,"Sion East, Mumbai",01-27-2022,899999,Toyota,2010.0,12.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Audi Q2 (2021),Others,PETROL,4000.0,AUTOMATIC,1st Owner,"Camac Street Area, Kolkata",01-20-2022,3450000,Audi,2021.0,1.0
Maruti Suzuki Ritz (2013),Zdi BS-IV,DIESEL,42000.0,MANUAL,1st Owner,"EM Bypass - Science City Area, Kolkata",01-15-2022,289000,Maruti,2013.0,9.0
Renault Duster (2016),2015-2016 85PS Diesel RxE,DIESEL,63000.0,MANUAL,1st Owner,"EM Bypass - Science City Area, Kolkata",01-18-2022,480000,Renault,2016.0,6.0
Audi Q2 (2021),Others,PETROL,4000.0,AUTOMATIC,1st Owner,"Camac Street Area, Kolkata",01-20-2022,3450000,Audi,2021.0,1.0
Honda Jazz (2015),1.5 V i DTEC,DIESEL,81379.0,MANUAL,First Owner,"Saltlake Sector II, Kolkata",WB,340000,Honda,2015.0,7.0
Renault Duster (2016),2015-2016 85PS Diesel RxE,DIESEL,63000.0,MANUAL,1st Owner,"EM Bypass - Science City Area, Kolkata",01-18-2022,480000,Renault,2016.0,6.0
Ford Ecosport (2015),1.5 TDCi Titanium Plus,DIESEL,51328.0,MANUAL,Second Owner,"Picnic Garden, Kolkata",WB,538999,Ford,2015.0,7.0
Ford Ecosport (2015),1.5 Diesel Titanium Plus,DIESEL,57713.0,MANUAL,1st Owner,"Uttar Panchanan Gram, Kolkata",01-27-2022,475000,Ford,2015.0,7.0
Ford Ecosport (2015),1.5 Diesel Titanium Plus,DIESEL,57713.0,MANUAL,1st Owner,"Uttar Panchanan Gram, Kolkata",01-27-2022,475000,Ford,2015.0,7.0
Land Rover Range Rover Evoque (2012),Evoque Prestige SD4,DIESEL,46300.0,AUTOMATIC,1st Owner,"Saltlake Sector 1, Kolkata",04-29-2021,2199000,Land,2012.0,10.0
Land Rover Range Rover Evoque (2012),Evoque Prestige SD4,DIESEL,46300.0,AUTOMATIC,1st Owner,"Saltlake Sector 1, Kolkata",04-29-2021,2199000,Land,2012.0,10.0
Mahindra Bolero Power Plus (2019),SLE,DIESEL,14900.0,MANUAL,1st Owner,"Park Circus, Kolkata",12-22-2021,760000,Mahindra,2019.0,3.0
Honda Jazz (2015),1.5 V i DTEC,DIESEL,81379.0,MANUAL,First Owner,"Saltlake Sector II, Kolkata",WB,340000,Honda,2015.0,7.0
Ford Ecosport (2015),1.5 TDCi Titanium Plus,DIESEL,51328.0,MANUAL,Second Owner,"Picnic Garden, Kolkata",WB,538999,Ford,2015.0,7.0
Ford Ecosport (2015),1.5 Diesel Titanium Plus,DIESEL,57713.0,MANUAL,1st Owner,"Uttar Panchanan Gram, Kolkata",01-27-2022,475000,Ford,2015.0,7.0
Hyundai Creta (2016),1.6 CRDi SX Option,DIESEL,32000.0,MANUAL,2nd Owner,"Paikpara, Kolkata",01-27-2022,825000,Hyundai,2016.0,6.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Volkswagen Polo (2016),Unknown,DIESEL,50000.0,MANUAL,1st Owner,"Sector 71, Noida",01-09-2022,379000,Volkswagen,2016.0,6.0
Hyundai Creta (2020),1.6 SX Option Executive Diesel,DIESEL,43861.0,MANUAL,1st Owner,"Ahiritola, Kolkata",01-23-2022,1165101,Hyundai,2020.0,2.0
Hyundai Verna (2019),VTVT 1.4 EX,PETROL,17000.0,MANUAL,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,815000,Hyundai,2019.0,3.0
Mg Hector (2019),Sharp diesel Manual,DIESEL,78000.0,MANUAL,1st Owner,"Yewlekar Mala, Nashik",11-29-2021,1835000,Mg,2019.0,3.0
Maruti Suzuki Swift Dzire (2009),VXI 1.2,PETROL,112052.0,MANUAL,1st Owner,"Thakray Circle Chowk, Nashik",01-07-2022,295000,Maruti,2009.0,13.0
Mg Hector (2019),Sharp diesel Manual,DIESEL,78000.0,MANUAL,1st Owner,"Yewlekar Mala, Nashik",11-29-2021,1835000,Mg,2019.0,3.0
Maruti Suzuki Swift Dzire (2009),VXI 1.2,PETROL,112052.0,MANUAL,1st Owner,"Thakray Circle Chowk, Nashik",01-07-2022,295000,Maruti,2009.0,13.0
Maruti Suzuki Wagon R 1.0 (2016),1.0 VXi,PETROL,34000.0,AUTOMATIC,1st Owner,"Lekha Nagar, Nashik",01-22-2022,411000,Maruti,2016.0,6.0
Maruti Suzuki Swift Dzire (2011),1.2 Vxi BSIV,PETROL,90000.0,MANUAL,Second Owner,"Madhuban Nagar, Nashik",01-27-2022,290000,Maruti,2011.0,11.0
Hyundai I10 (2010),1.1L iRDE ERA Special Edition,PETROL,90000.0,MANUAL,First Owner,"DGP Nagar, Nashik",01-27-2022,190000,Hyundai,2010.0,12.0
Chevrolet Spark (2011),1.0 LS,PETROL,52000.0,MANUAL,1st Owner,"Gulmohar Vihar, Nashik",01-27-2022,155000,Chevrolet,2011.0,11.0
Mahindra Xylo (2012),2012-2014 E9,DIESEL,132647.0,MANUAL,Third Owner,"Moti Nagar, Hyderabad",01-27-2022,625000,Mahindra,2012.0,10.0
Mahindra Xylo (2012),2012-2014 E9,DIESEL,132647.0,MANUAL,Third Owner,"Moti Nagar, Hyderabad",01-27-2022,625000,Mahindra,2012.0,10.0
Mahindra Xylo (2019),D4 BS III,DIESEL,52000.0,MANUAL,1st Owner,"Shivam Road, Hyderabad",01-24-2022,550000,Mahindra,2019.0,3.0
Mahindra Xylo (2019),D4,DIESEL,51000.0,MANUAL,1st Owner,"Nagole, Hyderabad",01-27-2022,550000,Mahindra,2019.0,3.0
Mahindra Xylo (2019),D4,DIESEL,82000.0,MANUAL,1st Owner,"Commercial Tax Colony, Hyderabad",01-26-2022,595000,Mahindra,2019.0,3.0
Mahindra Xylo (2019),D4,DIESEL,82000.0,MANUAL,1st Owner,"Commercial Tax Colony, Hyderabad",01-26-2022,595000,Mahindra,2019.0,3.0
Mahindra Xylo (2019),D4,DIESEL,51000.0,MANUAL,1st Owner,"Nagole, Hyderabad",01-27-2022,550000,Mahindra,2019.0,3.0
Mahindra Xylo (2019),D4,DIESEL,51000.0,MANUAL,1st Owner,"Nagole, Hyderabad",01-27-2022,550000,Mahindra,2019.0,3.0
Mahindra Xylo (2019),D4,DIESEL,82000.0,MANUAL,1st Owner,"Commercial Tax Colony, Hyderabad",01-26-2022,595000,Mahindra,2019.0,3.0
Maruti Suzuki Wagon R (2016),VXI AMT,PETROL,46851.0,MANUAL,1st Owner,"Satya Vihar, Bhubaneshwar",12-13-2021,349000,Maruti,2016.0,6.0
Maruti Suzuki Wagon R (2015),VXI,PETROL,30301.0,MANUAL,1st Owner,"Acharya Vihar, Bhubaneshwar",01-26-2022,325000,Maruti,2015.0,7.0
Maruti Suzuki Wagon R (2016),VXI,PETROL,61000.0,MANUAL,1st Owner,"Jayadev Vihar, Bhubaneshwar",01-27-2022,350000,Maruti,2016.0,6.0
Maruti Suzuki Wagon R (2015),VXI,PETROL,30301.0,MANUAL,1st Owner,"Acharya Vihar, Bhubaneshwar",01-26-2022,325000,Maruti,2015.0,7.0
Maruti Suzuki Wagon R (2016),VXI,PETROL,61000.0,MANUAL,1st Owner,"Jayadev Vihar, Bhubaneshwar",01-27-2022,350000,Maruti,2016.0,6.0
Maruti Suzuki Wagon R (2015),VXI,PETROL,30301.0,MANUAL,1st Owner,"Acharya Vihar, Bhubaneshwar",01-26-2022,325000,Maruti,2015.0,7.0
Audi Q7 (2012),3.0 TDI Quattro Premium Plus,DIESEL,98567.0,AUTOMATIC,1st Owner,"Industrial Area, Chandigarh",01-05-2022,1785000,Audi,2012.0,10.0
Audi Q7 (2013),3.0 TDI quattro,DIESEL,80000.0,AUTOMATIC,1st Owner,"Sector 69, Mohali",01-26-2022,1850000,Audi,2013.0,9.0
Audi Q7 (2013),3.0 TDI Quattro Premium Plus,DIESEL,80000.0,AUTOMATIC,1st Owner,"Chandigarh Airport Area, Chandigarh",01-27-2022,1685000,Audi,2013.0,9.0
Audi Q7 (2013),3.0 TDI Quattro Premium Plus,DIESEL,80000.0,AUTOMATIC,1st Owner,"Chandigarh Airport Area, Chandigarh",01-27-2022,1685000,Audi,2013.0,9.0
Audi Q7 (2013),3.0 TDI quattro,DIESEL,80000.0,AUTOMATIC,1st Owner,"Sector 69, Mohali",01-26-2022,1850000,Audi,2013.0,9.0
Audi Q7 (2013),3.0 TDI Quattro Premium Plus,DIESEL,80000.0,AUTOMATIC,1st Owner,"Chandigarh Airport Area, Chandigarh",01-27-2022,1685000,Audi,2013.0,9.0
Audi A6 (2011),2.0 TDI,DIESEL,125293.0,AUTOMATIC,2nd Owner,"Industrial Area, Chandigarh",12-25-2021,895000,Audi,2011.0,11.0
Audi A6 (2011),2.0 TDI,DIESEL,125293.0,AUTOMATIC,2nd Owner,"Industrial Area, Chandigarh",12-25-2021,895000,Audi,2011.0,11.0
Audi A6 (2010),2009-2011 2.7 TDI,DIESEL,84000.0,AUTOMATIC,1st Owner,"Shivalik Enclave, Chandigarh",01-26-2022,785000,Audi,2010.0,12.0
Maruti Suzuki Swift (2006),2004-2010 LXi BSIV,CNG,120000.0,MANUAL,Fourth Owner,"Sector 34A, Chandigarh",Other minor issues,160000,Maruti,2006.0,16.0
Hyundai Verna (2012),2011-2014 1.6 CRDI,DIESEL,120000.0,MANUAL,First Owner,"Sector 37C, Chandigarh",Haryana,425000,Hyundai,2012.0,10.0
Maruti Suzuki Sx4 (2013),ZXi,PETROL,87000.0,MANUAL,2nd Owner,"Sector 40A, Chandigarh",01-27-2022,310000,Maruti,2013.0,9.0
Hyundai Verna (2012),2011-2014 1.6 CRDI,DIESEL,120000.0,MANUAL,First Owner,"Sector 37C, Chandigarh",Haryana,425000,Hyundai,2012.0,10.0
Bmw 5 Series (2010),520d,DIESEL,90000.0,AUTOMATIC,2nd Owner,"Sector 1, Chandigarh",01-27-2022,1050000,Bmw,2010.0,12.0
Ford Mustang (2018),V8,PETROL,10000.0,AUTOMATIC,1st Owner,"Sector 19C, Chandigarh",01-27-2022,6450000,Ford,2018.0,4.0
Ford Mustang (2018),V8,PETROL,10000.0,AUTOMATIC,1st Owner,"Sector 19C, Chandigarh",01-27-2022,6450000,Ford,2018.0,4.0
Ford Mustang (2017),V8,DIESEL,16000.0,AUTOMATIC,2nd Owner,"Sector 22B, Chandigarh",01-25-2022,7175000,Ford,2017.0,5.0
Maruti Suzuki Alto 800 (2015),2012-2016 LXI,PETROL,63000.0,--,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,220000,Maruti,2015.0,7.0
Maruti Suzuki Alto 800 (2015),2012-2016 LXI,PETROL,63000.0,--,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,220000,Maruti,2015.0,7.0
Hyundai Creta (2017),1.6 SX Plus,PETROL,41545.0,MANUAL,1st Owner,"Madhapur, Hyderabad",09-30-2021,1095000,Hyundai,2017.0,5.0
Renault Kwid (2016),RXL,PETROL,90000.0,MANUAL,First Owner,"Now Gam, Nowgam",01-13-2022,230000,Renault,2016.0,6.0
Renault Kwid (2016),RXL,PETROL,90000.0,MANUAL,First Owner,"Now Gam, Nowgam",01-13-2022,230000,Renault,2016.0,6.0
Maruti Suzuki Wagon R (2018),CNG LXI Opt,CNG,120000.0,MANUAL,First Owner,"Shivaji Nagar, Mumbai",01-13-2022,380000,Maruti,2018.0,4.0
Maruti Suzuki Wagon R (2018),CNG LXI Opt,CNG,120000.0,MANUAL,First Owner,"Shivaji Nagar, Mumbai",01-13-2022,380000,Maruti,2018.0,4.0
Maruti Suzuki Wagon R Duo (2011),Others,LPG,90320.0,AUTOMATIC,4+ Owner,"Badi Bazar, Pihani",01-27-2022,180000,Maruti,2011.0,11.0
Maruti Suzuki Wagon R Duo (2011),Others,LPG,90320.0,AUTOMATIC,4+ Owner,"Badi Bazar, Pihani",01-27-2022,180000,Maruti,2011.0,11.0
Tata Indica (2008),DLS,DIESEL,125250.0,MANUAL,3rd Owner,"Thondankulangara, Alappuzha",01-27-2022,65000,Tata,2008.0,14.0
Maruti Suzuki 800 (2007),Others,PETROL,75000.0,AUTOMATIC,2nd Owner,"Tazipora, Mohmmad Pora",01-27-2022,70000,Maruti,2007.0,15.0
Hyundai Aura (2021),SX Plus Manual,PETROL,4000.0,MANUAL,1st Owner,"Ganga Bazar, Itanagar",01-27-2022,750000,Hyundai,2021.0,1.0
Mahindra Thar (2021),LX 4-STR Hard Top AT,DIESEL,1.0,AUTOMATIC,1st Owner,"Calicut Airport, Kozhikode",01-27-2022,1950000,Mahindra,2021.0,1.0
Tata Safari Storme (2016),VX,DIESEL,67000.0,MANUAL,1st Owner,"Police Lines, Varanasi",01-27-2022,725000,Tata,2016.0,6.0
Maruti Suzuki Swift Dzire (2012),LDI,DIESEL,79300.0,MANUAL,2nd Owner,"Akurdi, Pune",01-27-2022,380000,Maruti,2012.0,10.0
Hyundai I20 (2013),1.4 Sportz,DIESEL,83000.0,MANUAL,3rd Owner,"Jain Nagar, Meerut",01-27-2022,290000,Hyundai,2013.0,9.0
Hyundai Santro Xing (2011),GLS,PETROL,42000.0,AUTOMATIC,1st Owner,"Mukundapur, Kolkata",01-27-2022,127000,Hyundai,2011.0,11.0
Tata Safari Storme (2016),VX,DIESEL,67000.0,MANUAL,1st Owner,"Police Lines, Varanasi",01-27-2022,725000,Tata,2016.0,6.0
Maruti Suzuki Swift (2014),2011-2014 VDI,DIESEL,115625.0,MANUAL,2nd Owner,"Indira Nagar, Visakhapatnam",01-27-2022,415000,Maruti,2014.0,8.0
Maruti Suzuki Swift (2014),2011-2014 VDI,DIESEL,115625.0,MANUAL,2nd Owner,"Indira Nagar, Visakhapatnam",01-27-2022,415000,Maruti,2014.0,8.0
